tabela,categoria_num,categoria,categoria_descricao,n_recurso,recurso,definicao_fundamentacao,exemplos_pb,features_adt,detectabilidade,observacoes_anotacao
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",45,Modalizadores irônicos,"""Obviamente"", ""claro"", ""com certeza"", ""evidentemente"". Certeza excessiva que convida à dúvida.","""Claro que ele vai chegar no horário. Como sempre."" ""Obviamente, funcionou perfeitamente."" ""É sabido que..."" (seguido de falsidade)",palavras_modalizadoras,Moderada,"Efeito de evidência (Machado: ""como sabe o leitor"")."
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",46,Arcaísmos irônicos,Vocabulário arcaico em contexto contemporâneo. Distanciamento crítico-cômico.,"""Outrossim"", ""cocorocas"", ""otoridades"" (Ponte Preta) Gregório de Matos: ""vosso gabo"", ""grã canseira"" Veríssimo: registro noir para detetive decadente (Ed Mort)",—,Baixa,Requer detecção de anacronismo lexical.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",47,Estrangeirismos irônicos,"Anglicismos com distanciamento crítico. ""Faria Limers"" como sátira corporativa.","""Faria Limers"" (sátira ao mercado financeiro) ""O tal do compliance"" / ""esse negócio de startup"" ""Broderagem"" (brother + -agem)",—,Baixa,"""O tal do"" + estrangeirismo marca distanciamento."
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",48,Sufixos pejorativos irônicos,"Sandmann (1989): -esco, -ismo, -ada, -eco como marcadores pejorativo-irônicos.","""-esco"": ""policialesco"", ""popularesco"" ""-ismo"": ""gerundismo"" (FUVEST) ""Febeapá"" = paródia de siglas militares ""Mensalão"" (não aumentativo literal: exaltação irônica de escala)",—,Baixa,Sufixos pejorativos em contexto avaliativo.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",49,Oxímoros como recurso irônico,"Justaposição de termos contraditórios cujo choque semântico produz efeito irônico e desnuda a contradição do referente (Fiorin, 2014).","""Capitalismo selvagem"" / ""socialismo hipócrita"" (Millôr) ""Crescimento negativo"" / ""divórcio amigável"" ""É proibido proibir"" (Tropicália) ""Admiravelmente mal"" (Murilo Mendes)",—,Baixa,Requer detectar contradição entre termos adjacentes.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",50,Personificação irônica,Atribuição de qualidades humanas a seres/objetos para efeito irônico.,"Mula que olhava ""filosoficamente"" (Machado, Helena) ""Buraquinho de saudade"" na meia (Machado, Esaú e Jacó) ""O dinheiro dobra facilmente qualquer um"" (Millôr)",—,Muito baixa,Requer análise de coerência semântica sujeito-predicado.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",51,Metonímia irônica,Substituição metonímica que quantifica o qualitativo.,"""Marcela amou-me durante 15 meses e 11 contos de réis"" (Machado) ""Imprensa é oposição. O resto é armazém de secos e molhados."" (Millôr)",—,Muito baixa,Requer reconhecer relação metonímica subvertida.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",52,Zeugma e silepse irônicos,"Um mesmo termo rege elementos incongruentes, aproximando planos díspares para efeito crítico (Fiorin, 2014).","""Saíram da reunião o diretor, os relatórios e a última esperança."" ""Perdeu o emprego, a paciência e as ilusões.""",— (parsing: coordenação heterogênea),Baixa,Requer reconhecer a incongruência entre os termos coordenados.
3,3,ESTRUTURAS LEXICAIS,"CATEGORIA 3 — ESTRUTURAS LEXICAIS Escolha e combinação de itens vocabulares para tensão avaliativa (Possenti, 1998; Brait, 1996/2008). Features ADT: sentimento, intensificadores, modalizadores.",53,Autodepreciação irônica,"Rebaixamento fingido de si que, por contraste, afirma o oposto ou expõe o interlocutor. Aparentada da lítotes e do understatement (Burgers et al., 2012).","""Com meu humilde QI, não entendo tanta genialidade."" ""Sou só um pobre coitado que paga impostos."" ""Não sou expert, mas até eu percebo o erro.""",— (léxico de autodepreciação + contexto),Baixa,"A modéstia é encenada; a ironia recai sobre o alvo, não sobre o falante."
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,54,Incongruência semântica,"Grice (1975, p. 46): violação da Máxima de Qualidade.","""Que maravilha, mais um aumento na gasolina!"" ""Adoro ficar preso no trânsito."" ""Vaticano canoniza todos os juízes brasileiros."" (Sensacionalista)",contraste_detectado,Alta,Padrão mais explorado na literatura de PLN.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,55,Contraste de polaridade,"Riloff et al. (2013, EMNLP, p. 704): ""positive sentiment + negative situation"". 26 VPs + 239 frases negativas aprendidas.","""Adoro quando o ônibus atrasa meia hora."" ""Que delícia trabalhar no feriado."" ""Como é bom ver políticos gastarem com propina."" (ComentCorpus) ""São muito nobres, a chapa usou dinheiro de corrupção."" (ComentCorpus)",contraste_detectado (CENTRAL),Alta,Feature central da Cat. 4. Captura 32% das ironias (explícitas). 68% são implícitas.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,56,Ambiguidade deliberada,"Dupla leitura simultânea, base da negabilidade plausível da ironia (Hutcheon, 1994).","""Apesar de Você"" (Chico: queixa amorosa / protesto político) ""Chame o ladrão"" (socorro / denúncia do Estado) ""O Brasil é o país do futuro"" (elogio / crítica eterna)",—,Muito baixa,Irresolvível sem contexto. Classificação binária perde a ambiguidade constitutiva.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,57,Implicatura conversacional,"Grice (1975, p. 43-44). Ducrot (1987, p. 42): ""fala como enigma"".","""Ele é tão pontual"" (sobre quem atrasa) ""Eu sei de tudo"" (Veríssimo: acusação vaga universal) Machado: Dona Plácida existe para facilitar affair",—,Baixa,68% da ironia no ComentCorpus é implícita.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,58,Pressupostos ironizados,"Ducrot (1987, p. 19-20): pressuposto como ""domínio comum"" subvertido.","""Os 'especialistas' que nos governam"" ""Mais água! Mais leite! Menos água no leite!"" (Barão de Itararé) ""70% quer ema no lugar de Salles"" (Sensacionalista: formato de pesquisa)",—,Muito baixa,Requer identificar pressuposição e reconhecer subversão.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,59,Pré-construído recontextualizado,"Pêcheux (1988, p. 161): ""palavras mudam de sentido"" entre FDs. Slogans recontextualizados.","""Brasil, País do Futuro — e sempre será."" ""Ordem e Progresso"" → ""Desordem e Regresso"" ""Ame-o ou deixe-o"" → reapropriação progressista ""Distraídos venceremos"" (Leminski, subverte ""Unidos"")",—,Muito baixa,Requer acesso ao interdiscurso. Módulo RAG da ADTC.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,60,Script semântico invertido,"GTVH de Attardo/Raskin: oposição de scripts incompatíveis (real/irreal, normal/anormal).","""300 contos → 11 amigos"" (Machado: riqueza ≠ amizade) ""Brasil cai na educação, políticos comemoram nova geração de eleitores"" (Sensacionalista) Veríssimo: moradores presos para proteger-se de criminosos livres",—,Baixa,Requer identificar scripts em oposição.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,61,Isotopia quebrada,Greimas: ruptura da coerência semântica. Campo semântico A invadido por B.,"""15 meses e 11 contos de réis"" (Machado: isotopia amorosa → comercial) ""Parasita por direito divino"" (Machado: religiosa → degradação) ""Porta do inferno, diz meteorologia"" (Sensacionalista: religiosa → científica)",—,Baixa,Requer detectar transição entre campos semânticos.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,62,Tautologia irônica,"A é A, mas carrega implicatura poderosa. Viola máxima de Quantidade.","""Político corrupto é político corrupto"" (= o que esperar?) ""O Brasil é o Brasil"" (= não muda) ""Jogo é jogo"" (futebol: ironiza expectativas) O Alienista: se todos são loucos, ninguém é louco",—,Muito baixa,Tautologia + contexto de frustração = ironia.
4,4,ESTRUTURAS SEMÂNTICAS,CATEGORIA 4 — ESTRUTURAS SEMÂNTICAS Mecanismos de sentido em que a proposição subverte o significado esperado. Articulação texto-contexto. Feature central: contraste_detectado.,63,Gradação invertida,Anticlímax: do grave ao trivial (ou vice-versa).,"""300 contos → 11 amigos"" (Machado) ""Odebrecht fecha delação e faltam paredes para bunda"" (Sensacionalista) ""Acabar com fome, miséria, corrupção... e acabou com o wi-fi""",—,Baixa,Requer modelar expectativa de progressão e detectar ruptura.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",64,Condições de produção (estrito),"Pêcheux (1969, p. 82-83): formações imaginárias. Quem fala, para quem, em que situação.","Subordinado diz ""Que bela decisão"" ao chefe = ironia Chefe diz ao subordinado = sarcasmo Entre pares = banter",mentions (proxy),Muito baixa,Módulo de Posição-Sujeito da ADTC.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",65,Condições de produção (amplo),"Orlandi (2020, p. 30-31): contexto sócio-histórico e ideológico.","""Excelente gestão econômica"" em recessão ""Parece que está indo embora o vírus"" (Bolsonaro, 12/04/2020, 1.200 mortos)",— (RAG),Baixa,Módulo de Condições de Produção da ADTC (RAG).
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",66,Interdiscurso / memória discursiva,"Orlandi (2020, p. 32): ""dizeres já ditos e esquecidos"". Courtine (1981, p. 52-53).","""Brasil, ame-o ou deixe-o"" em contexto progressista ""Cálice""/""Cale-se"" + censura ""Gripezinha"" ecoando 700.000 mortos",— (RAG),Muito baixa,Requer base de enunciados historicamente sedimentados.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",67,Heterogeneidade mostrada não marcada,"Authier-Revuz (1982, p. 141): ironia como ""heterogeneidade mostrada não marcada"".","""Vivemos em democracia plena"" (em contexto de censura) Voz do Outro sem marcação formal",— (inacessível),Muito baixa,"Ponto onde ironia mais resiste à detecção automática, por aproximar-se da heterogeneidade constitutiva (interdiscurso)."
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",68,Comunidades discursivas,"Hutcheon (1994, p. 18): ironia ""happens because discursive communities already exist"".","Ironia entre torcedores opaca para não-torcedores ""Imagina na Copa"" (exige memória do 7x1) Sátira de O Pasquim: transparente só para oposição à ditadura",— (inacessível),Muito baixa,Requer modelar comunidades e repertórios compartilhados.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",69,Cenografia e ethos,"Maingueneau (2008, p. 70-71): cenografia como ""o que a enunciação instaura"".","Sensacionalista: cenografia de jornal sério + conteúdo satírico Machado: narrador ""confiável"" que mina sua própria confiabilidade",— (classif. gênero),Moderada,"BAcc 0,92 para notícias satíricas (IDPT 2021)."
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",70,Contexto temporal,Declarações que adquirem ironia por eventos subsequentes.,"""País do Futuro"" (Zweig, 1941) → ""e sempre será"" ""Está superdimensionado o poder do vírus"" (Bolsonaro, 09/03/2020, 25 casos) ""Não vai ter Copa"" (2013) → teve Copa → 7×1",— (RAG temporal),Baixa,Requer acesso a timeline de eventos.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",71,Contexto espacial/geográfico,Ironia que depende de conhecer um lugar.,"""Cidade Maravilhosa"" (Rio: tiroteios) ""Padrão FIFA"" (obras não entregues) ""SP não pode parar"" (durante alagamentos na Marginal)",— (RAG geográfico),Baixa,Requer conhecimento enciclopédico local.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",72,Contexto biográfico,Ironia emerge quando histórico do falante contradiz a fala.,"Bolsonaro: ""gripezinha"" → testou positivo Roberto Jefferson denunciando corrupção (recebeu R$ 4M em malas) PT ""partido da ética"" → Mensalão/Lava Jato",— (RAG),Muito baixa,Requer perfil do enunciador.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",73,Contexto futebolístico,7×1 como expressão idiomática irônica universal no PB.,"""Mais um gol da Alemanha"" (= qualquer desastre) ""Virou passeio!"" (Galvão, 4° gol) ""Imagina na Copa"" → ironizado retroativamente ""Qual foi o seu 7 a 1?"" (Felipão: capitaliza o fracasso)",— (RAG cultural),Muito baixa,Requer memória cultural específica do futebol brasileiro.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",74,Contexto pandêmico,COVID gerou vocabulário irônico específico no PB.,"""Gripezinha"" como símbolo de negacionismo #ForçaCorona (inversão de apoio, jul/2020) ""Histórico de atleta"" → meme irônico ""Tratamento precoce"" → irônico após ineficácia comprovada",— (RAG temporal),Muito baixa,Requer timeline pandêmica e conhecimento de políticas.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",75,Contexto factual / conhecimento de mundo,"Wallace et al. (2014, ACL): 30% dos comentários exigem contexto. F1=0,383 sem contexto.","""Boa sorte na Marginal"" (exige saber que é congestionada) ""Que sorte, mais um feriado prolongado"" (só irônico se sabido que haverá greve de transporte) ""Eduardo Cunha tem Porsche em nome de Jesus.com"" (manchete real)",— (RAG),Baixa,"RAG pode recuperar fatos, mas seleção de relevância requer senso comum."
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",76,Silêncio irônico,Orlandi (2007): o silêncio significa; o não dito e o interditado produzem sentido. A recusa a comentar e a lacuna deliberada funcionam ironicamente.,"""..."" como única resposta a um absurdo ""Sem comentários."" Reticências que substituem a avaliação óbvia",— (inacessível / RAG de contexto),Muito baixa,O sentido está no que se cala. Só o contexto e a memória discursiva o recuperam.
5,5,CONTEXTO COMO CONSTITUINTE,"CATEGORIA 5 — CONTEXTO COMO CONSTITUINTE Dimensões extratextuais sem as quais a ironia não se produz. 68% das ironias são implícitas (Wick-Pedro, 2020). Justifica o módulo RAG da ADTC.",77,Ironia multimodal (memes),"O efeito irônico emerge da relação entre texto e imagem, e não de cada um isolado. Cai, Ci e Wan (2019): a detecção de sarcasmo exige fusão de modalidades.",Legenda elogiosa sobre imagem que a contradiz Memes de reação que ironizam a fala citada Print acompanhado de 🤡,"— (multimodal, fora do escopo textual)",Muito baixa,Fenômeno crescente nas redes brasileiras. Exige processar texto e imagem em conjunto.
